sensor_id,temperatura,vibracion,presion,voltaje,corriente,rpm,tiempo_operacion
S001,75.2,0.12,101.5,220.1,15.3,1450,2400
S002,42.1,0.03,100.2,219.8,8.1,1480,500
S003,88.5,0.25,103.8,218.5,22.7,1420,4800
S004,38.7,0.02,99.8,220.5,7.2,1490,200
S005,95.3,0.35,105.2,217.2,28.4,1400,6000
S006,65.4,0.08,101.0,220.0,12.5,1460,1800
S007,80.1,0.18,102.5,219.0,18.6,1440,3200
S008,40.2,0.02,100.0,220.3,7.5,1488,300
S009,98.7,0.42,106.5,216.5,31.2,1390,7200
S010,55.8,0.05,100.8,220.1,10.2,1475,900
S011,77.3,0.14,101.8,219.8,16.0,1448,2600
S012,41.5,0.03,100.1,220.2,7.8,1485,400
S013,86.2,0.22,103.5,218.8,21.5,1425,4500
S014,37.9,0.02,99.7,220.6,7.0,1492,150
S015,92.8,0.32,104.8,217.5,26.9,1405,5500
S016,63.1,0.07,100.9,220.0,11.8,1463,1600
S017,78.9,0.16,102.2,219.2,17.4,1445,2900
S018,39.5,0.02,99.9,220.4,7.3,1489,250
S019,100.2,0.45,107.0,216.0,33.5,1385,7800
S020,58.3,0.06,101.0,220.0,11.0,1472,1100
S021,74.5,0.11,101.4,220.1,15.0,1452,2300
S022,43.8,0.03,100.3,219.7,8.4,1478,550
S023,89.7,0.27,104.0,218.3,23.5,1418,5000
S024,36.5,0.01,99.6,220.7,6.8,1494,100
S025,94.1,0.33,105.0,217.3,27.8,1402,5800
S026,66.7,0.09,101.1,219.9,12.9,1458,1900
S027,81.4,0.19,102.7,218.9,19.2,1442,3400
S028,40.8,0.02,100.0,220.3,7.6,1487,350
S029,97.5,0.40,106.2,216.7,30.5,1392,6800
S030,54.2,0.05,100.7,220.1,9.8,1477,800
S031,76.8,0.13,101.7,219.9,15.7,1450,2500
S032,42.9,0.03,100.2,219.9,8.2,1482,480
S033,87.4,0.24,103.7,218.6,22.1,1422,4700
S034,38.1,0.02,99.8,220.5,7.1,1491,180
S035,93.6,0.34,105.1,217.4,27.3,1403,5700
S036,64.2,0.08,101.0,220.0,12.2,1461,1700
S037,79.5,0.17,102.4,219.1,18.0,1443,3100
S038,39.8,0.02,99.9,220.4,7.4,1489,280
S039,99.0,0.43,106.8,216.3,32.4,1387,7500
S040,56.7,0.05,100.9,220.0,10.6,1474,1000
S041,73.8,0.11,101.3,220.2,14.7,1453,2200
S042,44.5,0.03,100.4,219.6,8.6,1476,600
S043,88.0,0.26,103.9,218.4,22.9,1420,4900
S044,37.3,0.01,99.7,220.6,6.9,1493,130
S045,91.5,0.31,104.6,217.7,26.3,1407,5300
S046,62.0,0.07,100.8,220.0,11.5,1465,1550
S047,77.7,0.15,102.1,219.3,16.8,1447,2800
S048,40.5,0.02,100.0,220.3,7.4,1488,320
S049,96.3,0.38,106.0,216.9,29.8,1394,6500
S050,57.4,0.06,100.9,220.0,10.8,1473,1050
S051,75.8,0.12,101.6,220.1,15.4,1451,2450
S052,41.8,0.03,100.1,220.2,7.9,1484,430
S053,85.5,0.21,103.3,218.9,21.0,1427,4300
S054,36.8,0.01,99.6,220.7,6.7,1494,120
S055,93.0,0.33,104.9,217.4,27.1,1403,5600
