id,cluster,match_score
1,0,1.000
2,0,0.000
3,2,0.500
4,0,0.000
5,2,0.429
6,0,0.000
7,0,0.500
8,0,0.000
9,2,0.429
10,0,0.000
11,0,1.000
12,0,0.000
13,2,0.600
14,0,0.000
15,2,0.500
16,0,1.000
17,0,1.000
18,0,0.000
19,2,0.429
20,0,0.000
21,0,1.000
22,0,0.000
23,2,0.600
24,0,0.000
25,2,0.429
26,0,1.000
27,0,0.500
28,0,0.000
29,2,0.429
30,0,0.000
31,0,1.000
32,0,0.000
33,2,0.500
34,0,0.000
35,2,0.500
36,0,1.000
37,0,1.000
38,0,0.000
39,2,0.429
40,0,0.000
41,0,1.000
42,0,0.000
43,2,1.000
44,0,0.000
45,2,0.429
46,0,1.000
47,0,0.500
48,0,0.000
49,2,0.429
50,0,0.000
51,0,1.000
52,0,0.000
53,2,0.600
54,0,0.000
55,2,0.429
