id,cluster,match_score
S001,4,1.000
S002,0,1.000
S003,3,1.000
S004,0,1.000
S005,3,1.000
S006,0,1.000
S007,2,1.000
S008,0,1.000
S009,3,1.000
S010,0,1.000
S011,1,1.000
S012,0,1.000
S013,3,1.000
S014,0,1.000
S015,3,1.000
S016,0,1.000
S017,1,1.000
S018,0,1.000
S019,3,1.000
S020,0,1.000
S021,0,1.000
S022,0,1.000
S023,3,1.000
S024,0,1.000
S025,3,1.000
S026,0,1.000
S027,2,0.667
S028,0,1.000
S029,3,1.000
S030,0,1.000
S031,4,1.000
S032,0,1.000
S033,3,1.000
S034,0,1.000
S035,3,1.000
S036,0,1.000
S037,2,1.000
S038,0,1.000
S039,3,1.000
S040,0,1.000
S041,0,1.000
S042,0,1.000
S043,3,1.000
S044,0,1.000
S045,3,1.000
S046,0,1.000
S047,1,1.000
S048,0,1.000
S049,3,1.000
S050,0,1.000
S051,4,1.000
S052,0,1.000
S053,3,1.000
S054,0,1.000
S055,3,1.000
